Full  log(Wcor)   e    Icor   Mcor        e
                 10-3   mag     mag  0.01mag

  158      2.094   20  11.34  -18.29       6
  159      2.090   79  12.92  -17.70      18
  160      2.176   50  12.40  -18.22      18
  161      2.150   48  12.70  -17.91      11
  162      2.339   12  11.42  -18.47       6
  163      2.339   38  11.38  -19.24       5
  164      2.112  160  13.51  -17.11       7
  165      2.481   36   9.37  -21.25       6
  166      2.267   20  11.76  -18.86      14
  167      2.612   17   8.91  -21.71       6
  168      2.225   31  12.69  -17.93       6
  169      2.204  103  12.62  -18.00       5
  170      1.968   60  13.77  -16.84       7
  171      2.693   15   8.24  -22.38      11
  172      2.438   15  10.74  -19.88       9
  173      2.466   22   9.78  -20.84      18
  174      2.010   70  12.16  -18.46       9
  175      2.011   99  12.40  -18.22       7
  176      2.572   12   9.56  -21.06      10
  177      2.462   40  10.40  -20.22       9
  178      2.582    5   9.05  -21.56      19
  179      1.783   95  14.82  -15.80      16
  180      1.990  100  11.92  -18.70      11
  181      2.430   11  10.10  -20.52      14
  182      2.074   40  12.75  -17.87       9
  183      2.391   13  10.42  -19.42       9
  184      2.035   42  12.52  -18.10       6
  185      2.196   16  11.80  -18.82       7
  186      2.274   18  10.99  -19.19       6
  187      2.309   12  11.05  -19.57      14
  188      1.954  130  14.73  -15.27       9
  189      2.468   25   8.98  -20.67       9
  190      2.023   40  14.13  -16.49      10
  191      2.716    8   8.37  -22.24      15
  192      2.427    8  11.11  -20.25      19
  193      2.277   32  10.69  -19.42       6
  194      2.263   38  11.52  -18.82       8
  195      2.153   50  13.81  -17.00       6
  196      2.296   12  10.16  -19.19       6
  197      2.340   29  13.29  -20.15      14
  198      2.501    9  12.45  -20.98      11
  199      2.574   14  12.24  -21.45       7

  200      2.363    7  13.18  -20.04      12
  201      2.124   50  11.63  -21.56       9
  202      2.554   28  12.23  -21.86      15
  203      2.666   24  11.07  -21.86      12
  204      2.399    9  13.17  -20.32      22
  205      2.550    7  12.56  -21.41       6
  206      2.575    6  11.71  -21.78      20
  207      2.483   29  11.39  -21.54       8
  208      2.166   30  13.20  -18.62       9
  209      2.480   14  12.70  -20.79       8
  210      2.180   65  13.79  -19.15       6
  211      2.344   11  13.48  -20.01      11
  212      2.596   60  12.56  -20.93       5
  213      2.365   33  13.79  -19.70       6
  214      2.375   26  14.01  -20.10       8
  215      2.370   50  13.68  -19.81       6
  216      2.422   15  14.08  -19.40       7
  217      2.630   15  11.26  -21.68      14
  218      2.268   16  14.13  -19.36      18
  219      2.300   70  13.13  -20.36       6
  220      2.172   52  15.23  -18.88      21
  221      2.450   29  12.87  -20.62       9
  222      2.510   15  13.31  -20.80      12
  223      2.237   13  13.62  -19.31       9
  224      2.521   47  11.90  -21.18       8
  225      2.369   11  13.29  -20.68       6
  226      2.562   29  11.10  -20.73        
  227      2.391   21  12.59  -20.89      26
  228      2.250   12  14.15  -19.33      12
