Full  log(Wcor)   e    Icor   Mcor        e
                 10-3   mag     mag  0.01mag

  693      2.353   19  11.22  -20.10      13
  694      2.502    9   9.69  -20.56      11
  695      2.619   32  11.19  -21.28      11
  696      2.317    9  10.88  -19.02      10
  697      2.503   26  11.87  -20.32       9
  698      2.543   11  10.99  -20.63      13
  699      2.323   16  12.63  -19.05      11
  700      2.656   12  10.51  -21.77      11
  701      2.290   12  13.18  -18.76      10
  702      2.280   67  13.29  -18.80       5
  703      2.497   48   9.97  -20.40       9
  704      2.319   11  11.30  -19.43      12
  705      2.671   65  10.95  -20.18      12
  706      2.427   19  10.82  -20.28      13
  707      2.545   28  10.06  -20.71      10
  708      2.394   31  10.32  -19.74       7
  709      2.102   27  13.26  -16.96       6
  710      2.385   38  13.01  -20.25       6
  711      2.403   22  11.88  -20.59      16
  712      2.369   13  13.01  -19.74       8
  713      2.399    9  13.25  -20.04      10
  714      2.374   20  13.65  -18.84      10
  715      2.290   12  14.24  -18.87       9
  716      2.445   10  12.33  -20.41       6
  717      2.673    6  11.43  -21.85      19
  718      2.346    8  13.64  -19.56      13
  719      2.533   10  12.03  -21.17      10
  720      2.481   10  11.72  -20.11      13
  721      2.618    6  10.06  -21.77      17
  722      2.235   61  13.15  -19.60      19
  723      2.300   11  13.92  -19.28       6
  724      2.452    8  12.89  -20.44      16
  725      2.275   18  12.96  -19.78      22
  726      2.318   24  13.13  -19.62       6
  727      2.463   18  12.50  -20.25       9
  728      2.621   10  11.61  -21.72       6
  729      2.306   11  13.28  -19.46      12
  730      2.471   13  12.20  -20.54      13
  731      2.472   36  12.27  -20.48      13
  732      2.191   39  13.13  -19.61       8
  733      2.391  108  13.99  -18.78       9
  734      2.558   11  11.62  -21.13       8
  735      2.310   27  13.21  -20.19      10
  736      2.342   18  14.07  -19.24      15
  737      2.149   42  14.33  -18.41       7
  738      2.268   11  13.82  -18.93      22
  739      2.495   16  12.78  -19.98       6
  740      2.211   12  14.49  -18.45      12
  741      2.262   12  13.73  -19.07       6
  742      2.368   19  11.43  -20.63       6
  743      2.377   13  13.24  -20.57      29
  744      2.381   29  13.51  -20.16      22
  745      2.654    6  12.77  -22.01      11
  746      2.367   52  12.92  -20.65      13
  747      2.673    9  12.64  -22.14      17
  748      2.520   20  13.17  -21.61       8
  749      2.376   25  14.90  -19.89      12
  750      2.518   17  13.79  -21.00      11
  751      2.163   47  15.88  -18.90      11
  752      2.469   15  14.48  -20.30       9
  753      2.356   54  14.60  -20.18      20
  754      2.283   16  16.03  -19.29      18
  755      2.621   25  12.65  -22.13      19
  756      2.443   28  13.81  -20.96      14
  757      2.423   35  14.11  -20.67       9
  758      2.753   14  13.19  -22.17       6
  759      2.659   11  12.77  -22.01      10
  760      2.599    8  13.20  -21.11      14
  761      2.351   10  13.56  -20.75      16
  762      2.523   34  13.08  -21.22       9
  763      2.463   12  13.61  -20.70      13
  764      2.631    6  12.27  -22.04      17
  765      2.318   55  14.13  -20.23      16
  766      2.730   14  12.19  -22.59       9
  767      2.725   10  11.96  -22.52       8
  768      2.584   10  12.93  -21.85      12
  769      2.599    8  13.21  -21.57      10
  770      2.514   10  13.60  -20.89      19
  771      2.635   16  12.78  -22.50      10
  772      2.760   37  12.10  -22.60       9
  773      2.530   45  13.07  -21.42      11
  774      2.655    7  13.15  -21.64      12
  775      2.487   15  13.43  -21.05       9
  776      2.474   28  13.32  -21.16      12
  777      2.559   26  13.39  -21.09       7
  778      2.549   26  13.20  -21.28      12
  779      2.483   11  13.66  -20.82       9
  780      2.706   19  12.46  -22.02       9
  781      2.607   11  12.46  -21.65      10
  782      2.433   11  13.49  -20.85      12
